C1QC	C1QB	0.999
GAK	VAMP7	0.909
GABRG3	ARHGEF9	0.909
ARF1	SNAPIN	0.909
ARFGAP1	CLTB	0.909
PAK2	EFNB2	0.909
VAMP2	VAMP4	0.909
CHRNA4	CHRNE	0.909
RAB5C	DNAJC5	0.909
RAB5C	ARRB2	0.909
DNM2	WNT5A	0.909
DNAJC5	ARL8A	0.909
CHRNA9	CHRNA1	0.909
NF1	PSMC4	0.909
PICALM	AP3B1	0.909
RAB5C	AAK1	0.909
PLCB4	PLCB1	0.909
PSMC2	NF1	0.909
ARRB2	SYNJ2	0.909
ARRB1	SYNJ2	0.909
RAB15	RAB10	0.909
ACTR2	SYT2	0.909
HIP1	RAB5A	0.909
RAB5C	ARRB1	0.909
SYT9	SH3GL3	0.909
RAB11B	RAB3C	0.909
AAK1	RAB5B	0.909
NF1	PSMC5	0.909
RAB11B	RAB21	0.909
CHRM5	HTR2B	0.909
JAK2	PRKACA	0.909
FYN	GPC1	0.909
AGRN	PAK7	0.909
DNM3	WNT5A	0.909
RELA	PDPK1	0.909
YWHAQ	RAB10	0.909
SOS1	NRG3	0.909
SLC2A8	VAMP7	0.909
RAB5B	HIP1R	0.909
GRIK3	PLCB1	0.909
GRIK4	GRIK5	0.909
NEFL	ACTN2	0.909
CHRM4	OPRK1	0.909
GABRB1	NPTN	0.909
DNM2	CTNNB1	0.909
GPER1	DRD2	0.909
LIN7A	SYN1	0.909
VAMP2	EGFR	0.909
ARRB2	AAK1	0.909
RAB5C	HIP1	0.909
OPRM1	P2RY4	0.909
CHRM5	NTS	0.909
ARRB2	RAP1A	0.909
AAK1	PACSIN2	0.909
RAB5C	HIP1R	0.909
PENK	ADCY8	0.909
RAB3B	RAB11B	0.909
PENK	WFS1	0.909
YES1	ACTN1	0.909
RAB10	RAB27B	0.909
YES1	UNC5C	0.908
LIN7C	SYT1	0.908
ADRA1A	NMU	0.908
SH3GL2	RAB5B	0.908
ACTR2	PACSIN2	0.908
ADCYAP1	ADORA2B	0.908
CAMK2B	JAK2	0.908
PLCB4	ITPKA	0.908
GAK	PACSIN2	0.908
EXOC3	MYH9	0.908
WNT7A	WNT3A	0.908
CHRM1	NMU	0.908
RAB5C	PICALM	0.908
VAMP2	PACSIN2	0.908
RAB3C	RAB10	0.908
CTTN	VAMP2	0.908
ITSN1	SYT9	0.908
AAK1	VAMP2	0.908
GRIN2D	LRFN1	0.908
SYNJ2	PACSIN2	0.908
SPTBN1	FYN	0.908
NTSR1	NPFF	0.908
SLC18A3	SYT9	0.908
VAMP7	CLTA	0.908
HRAS	FGA	0.908
RAB5C	AP1S1	0.908
SYT2	HIP1R	0.908
SLC2A8	VAMP2	0.908
SOS1	ITPR1	0.908
F2R	GNRH1	0.908
SLC18A3	RAB5A	0.908
CHRM5	GNRH1	0.908
DNAJC5	GAD1	0.908
ARRB1	CTTN	0.908
F2R	HTR2B	0.908
SH3KBP1	CLTA	0.908
ACTN2	CLU	0.908
NEDD4	FBXL20	0.908
SNAP25	P2RX1	0.908
RAB3B	RAB10	0.908
GPER1	DRD3	0.908
CPLX1	LIN7B	0.908
EFNB3	EFNB1	0.908
AGRN	ITGA8	0.908
SH3KBP1	GAK	0.908
GPC4	GPC1	0.908
CTTN	SH3GL3	0.908
LIN7A	CPLX1	0.908
HTR1B	HRH3	0.908
RPL7	PSMC5	0.908
SLC2A8	VAMP4	0.908
FCHO2	SYT1	0.908
RAB5C	SH3GL3	0.908
SOS1	ITGB1	0.908
ADRA1A	NTSR1	0.908
DNAJC6	SYT9	0.908
CTNNB1	PSMA3	0.908
SRGAP2	PFN2	0.908
ARRB2	FYN	0.908
SRC	CHRNB1	0.908
PAK2	PSMC4	0.908
RAB8B	RAB27B	0.907
CHRM2	VAMP2	0.907
DVL1	PSMA3	0.907
GPC4	LRP8	0.907
RAP1A	ADAM10	0.907
ARRB2	SLC18A3	0.907
SYNJ1	EFNB1	0.907
CHRM2	DNM2	0.907
SLC18A3	GAK	0.907
PPP3CC	PICALM	0.907
ITGB3	ARF6	0.907
AP1S1	VAMP2	0.907
CTNND1	DNM2	0.907
CTNNB1	PSMC4	0.907
ARF1	SPTBN1	0.907
CLN3	PPT1	0.907
RAB5B	SH3GL3	0.907
NRG3	PSEN1	0.907
GABRA2	NPTN	0.907
EGFR	VAMP7	0.907
SYT1	LIN7B	0.907
PICALM	SLC2A8	0.907
PLCB3	WNT5A	0.907
GRM1	NPFF	0.907
HIP1	VAMP7	0.907
ARRB1	RAP1A	0.907
ITPR1	GNG3	0.907
CCK	P2RY1	0.907
CNTN5	NTNG1	0.907
DRD3	DRD2	0.907
GSK3B	GSK3A	0.907
RAB5C	SH3GL2	0.907
ACTN2	GRIA4	0.907
FBXO2	TRIM9	0.907
VAMP2	PRKCI	0.907
EGFR	HIP1R	0.907
CDC42	SH3GL3	0.907
CTNNB1	PAK2	0.907
AP1S1	HIP1R	0.907
OPRK1	NMU	0.907
ARRB1	FCHO2	0.907
DNM2	AP1S1	0.907
NTSR1	PLCB1	0.907
GABRB3	GABRB1	0.907
GRIK1	GRIK3	0.907
PLCB3	PLCB4	0.907
SPTBN1	ARFGAP1	0.907
PDYN	ANXA1	0.907
ARRB1	SLC18A3	0.907
OPRM1	NMU	0.907
CLTB	EGFR	0.907
ARRB2	CHRM2	0.907
PTPRN	MAPK8IP1	0.907
ADAM10	SNAP25	0.907
DNAJC6	VAMP4	0.907
BDNF	CTNND1	0.907
RAP1A	SNAP25	0.907
GSK3B	PSMA3	0.907
ARFGAP1	CLTA	0.907
NRG3	FYN	0.907
PAK3	EFNB3	0.907
SYT8	SLC18A3	0.907
ARRB1	SH3KBP1	0.907
RELA	PSMC5	0.907
FCHO2	CTTN	0.907
AP1S1	VAMP7	0.907
FYN	CDK5R1	0.907
SRC	AP3B1	0.907
PAK3	LAMA5	0.907
GABRA5	NPTN	0.907
PAK2	PSMC5	0.907
ITGB3	SOS1	0.907
C4A	ADAM10	0.907
P2RX4	P2RX5	0.906
GSK3B	PSMC4	0.906
SYNGR1	PSEN1	0.906
PSEN1	ARL8A	0.906
SLC18A3	SH3GL3	0.906
RAC1	LAMA5	0.906
EXOC3	CTNND1	0.906
DLG1	CACNG4	0.906
LRP8	GPC1	0.906
WNT3A	WNT5A	0.906
DNAJC6	VAMP7	0.906
CHRM2	ADCY8	0.906
VAMP2	LIN7C	0.906
SPTBN1	NAPA	0.906
SH3GL3	VAMP7	0.906
CDC42	RAC1	0.906
CTNNB1	PSMC5	0.906
ANK3	ANK1	0.906
CTNND1	NTRK2	0.906
RPS6KB1	PSMC4	0.906
CHRNA2	CHRNA4	0.906
ASAP1	CLTA	0.906
FCHO2	ARFGAP1	0.906
SYT8	HIP1R	0.906
PLCB4	F2R	0.906
SYT9	HIP1R	0.906
BZRAP1	SLC17A7	0.906
ERC1	PRKCI	0.906
DVL1	PSMC4	0.906
SYT8	ITSN1	0.906
CHRM5	CHRM1	0.906
ASAP1	CLTB	0.906
AP3B1	HIP1R	0.906
CDH15	CDH1	0.906
NPHP4	RAB11A	0.906
ADRA2C	GPER1	0.906
YWHAQ	VAMP2	0.906
EPHB1	EPHA7	0.906
LIN7A	USH1C	0.906
PSMC2	CTNNB1	0.906
PACSIN1	GAK	0.906
NOS1	CAMK2B	0.906
PIP5K1C	FYN	0.906
ACTN1	FGA	0.906
PLCB4	GNRH1	0.906
P2RY4	GRM8	0.906
SH3GL3	PACSIN2	0.906
PPP2R2A	RPS23	0.906
SLC18A3	EGFR	0.906
NTSR1	HTR2B	0.906
SNAPIN	AP1S1	0.906
PICALM	RAB5B	0.906
ACTR2	DNAJC6	0.906
ANK2	ANK1	0.906
SYN2	LIN7B	0.906
GRIA4	LRFN1	0.906
SH3GL2	SLC18A3	0.906
CASK	BZRAP1	0.906
CHRM2	HRH3	0.906
FBXO2	FBXL20	0.906
ANXA1	F2R	0.906
NEDD4	TRIM9	0.906
PSMC2	GSK3B	0.905
PSMC2	RPL7	0.905
SYNJ1	ITPKA	0.905
EIF4E	RPL23	0.905
PAK3	CHRM1	0.905
CASK	VAMP2	0.905
ADAM23	CACNG4	0.905
BDNF	RAP1A	0.905
CYFIP1	LRRC7	0.905
VAMP2	YWHAH	0.905
ITSN1	RAB5B	0.905
SH3GL2	CLTB	0.905
HIP1	SYT1	0.905
RELA	IL1RAP	0.905
SOS1	ILK	0.905
ADAM22	CACNG4	0.905
CSPG5	AGRN	0.905
SYNJ1	SYNJ2	0.905
SH3GL3	CLTB	0.905
DMD	PAK2	0.905
NPTN	ARHGEF9	0.905
SLC2A8	CLTB	0.905
CTNNB1	GRIA2	0.905
CHRNA4	CHRNA1	0.905
CDK5R1	NRP1	0.905
ADRA1A	ANXA1	0.905
NTSR1	P2RY1	0.905
OPRM1	OPRK1	0.905
P2RX4	P2RX1	0.905
EFNA5	EFNA2	0.905
ARRB1	PACSIN2	0.905
SYT8	SYT2	0.905
PLCB3	ADRA1A	0.905
ATP1A3	AGRN	0.905
KPNA2	KPNA1	0.905
AAK1	SH3GL3	0.905
EXOC3	CNGB1	0.905
EXOC3	CTNNB1	0.905
VAMP2	LIN7B	0.905
FCHO2	SH3GL3	0.905
ARRB1	SYT2	0.905
BZRAP1	VAMP2	0.905
CACNG8	CACNG4	0.905
GRM8	GNG3	0.905
SYT8	SYT1	0.905
SLC18A3	VAMP7	0.905
SEPT8	SEPT11	0.905
ARF1	ARRB1	0.905
NTF3	PTPRO	0.905
CHRM2	EGFR	0.905
PTEN	PSMA3	0.905
RPS27	NDEL1	0.905
STX1A	LIN7B	0.905
ARRB2	VAMP4	0.905
RELA	PRKCI	0.905
EIF4E	RPS21	0.905
RAB8B	RAB15	0.905
AAK1	SYT2	0.905
SLC18A3	BZRAP1	0.905
CHRNB4	CHRNA1	0.905
ARRB1	AAK1	0.905
RAB27A	RAB27B	0.905
CHRM5	P2RY1	0.905
SYT2	HIP1	0.905
P2RY4	HRH3	0.905
PLCB4	ANXA1	0.904
AKT1	CDH1	0.904
CHRNA1	LAMA5	0.904
EPHB2	EPHA7	0.904
SH3KBP1	CLTB	0.904
RPL7	PPP2R2A	0.904
SLC2A8	RAB5B	0.904
CDH15	MAPK14	0.904
KIF5A	ARFGAP1	0.904
GAK	NAPA	0.904
CHRM2	SYT2	0.904
HIP1	SH3GL3	0.904
AKAP5	CACNG8	0.904
ITPR1	STX1A	0.904
CTTN	LAMA5	0.904
ADAM10	PGRMC1	0.904
PAK3	CTNNB1	0.904
SH3GL2	HIP1	0.904
GABRB3	NPTN	0.904
CHRM1	GHSR	0.904
RNF19A	ZNRF1	0.904
RAP1A	CHRNB4	0.904
LIN7C	STX1A	0.904
P2RY4	CNR1	0.904
MYL7	MYH9	0.904
SYNGR1	ARL8A	0.904
PLCB3	HTR2B	0.904
RAB5C	SLC2A8	0.904
SH3KBP1	PACSIN2	0.904
PTK2B	RAPSN	0.904
SLC18A3	DNAJC6	0.904
PIP5K1C	CTNND1	0.904
AKT1	GNG3	0.904
ARRB1	ACTR2	0.904
DNAJC6	WNT5A	0.904
GHRH	ADORA2B	0.904
GAK	WNT5A	0.904
NTSR1	CHRM1	0.904
CTTN	CHRM1	0.904
ITGB1	FGA	0.904
PICALM	NAPA	0.904
ARRB1	GAK	0.904
RAP1A	DNAJC5	0.904
RAB5C	PSEN1	0.904
BCR	RPS6KB1	0.904
SYN1	LIN7B	0.904
COPS5	FBXO2	0.904
NMU	HTR2B	0.904
ITSN1	VAMP7	0.904
ARRB2	SYT2	0.904
GAK	VAMP2	0.904
SYNJ1	SLC18A3	0.904
SH3KBP1	SYT2	0.904
CTTN	GAK	0.904
DYNLL2	TMED9	0.904
CHRM2	GPER1	0.904
SNAP25	SNAP23	0.904
SLC2A8	RAB5A	0.904
PACSIN1	VAMP7	0.904
UNC13B	LIN7B	0.904
NOS1	PPP3CC	0.904
CAMK2B	CACNG4	0.904
CHRNA2	CHRNA1	0.904
ANXA1	PLCB1	0.904
EIF4E	PSMC4	0.904
CTTN	VAMP4	0.904
JAK2	AP3B1	0.904
ABLIM3	SRC	0.904
P2RY1	NTS	0.904
CTNNA2	MAPK14	0.904
CHRM1	RAPSN	0.904
DLGAP4	DLGAP1	0.904
ARRB2	CLTB	0.904
CHRM4	CHRM2	0.903
KIF1A	ARFGAP1	0.903
ARRB2	DNAJC6	0.903
SH3GL2	EPHB2	0.903
LIN7A	BZRAP1	0.903
GRIA3	LRFN1	0.903
KPNA1	YWHAG	0.903
CASK	CPLX1	0.903
PAK7	CHRM1	0.903
PTEN	PSMC5	0.903
GNG3	CACNA1D	0.903
SLC18A3	SLC2A8	0.903
PAK2	EFNB3	0.903
CTNND1	PAK2	0.903
RAB5B	WNT5A	0.903
DNAJC6	NAPA	0.903
ARRB1	HIP1R	0.903
CHRM4	GPER1	0.903
CDH11	CDH9	0.903
PRKACA	TUBA1A	0.903
CHRM2	SYT9	0.903
SYNJ2	SYT9	0.903
ADRA1A	GHSR	0.903
DNAJC5	SYNGR1	0.903
PPP2R2A	RPS3	0.903
PPFIA3	SLC18A2	0.903
CNTN1	NRCAM	0.903
GRM1	GHSR	0.903
PACSIN1	ACTR2	0.903
SRC	CHRNA1	0.903
ADAM10	P2RX1	0.903
RAB5C	ITSN1	0.903
SH3GL3	WNT5A	0.903
EPHB1	EPHB2	0.903
ARRB2	VAMP2	0.903
ADCY8	NMU	0.903
ACTR2	SH3GL3	0.903
ANXA1	PENK	0.903
CAMK2B	AKAP5	0.903
SYT8	SYNJ2	0.903
ARRB1	VAMP2	0.903
SH3GL2	AP3B1	0.903
FCHO2	VAMP4	0.903
ANK1	NAPA	0.903
CHRM2	AAK1	0.903
CCK	F2R	0.903
ACTN2	GRIN2D	0.903
PLCB1	HTR2B	0.903
CHRM5	NTSR1	0.903
EIF4E	RPL8	0.903
SYT2	CLTB	0.903
ARRB2	DNM3	0.903
PLCB1	NTS	0.903
NAPA	AP3B1	0.903
GSK3B	NRP1	0.903
PSMC2	RPL10A	0.903
GNG3	NTS	0.903
PLCB3	GRM1	0.903
ARRB2	RAC1	0.903
CHRM1	PLCG1	0.903
CHRM1	NPFF	0.903
CNKSR2	FGA	0.903
GNRH1	HTR2B	0.903
HIP1	PACSIN2	0.903
FBXO2	ZNRF1	0.903
ARRB1	PICALM	0.903
PACSIN1	AAK1	0.903
PSMC2	PTEN	0.903
PLCB3	P2RY1	0.903
P2RY4	DRD2	0.903
ITGB1	PAK7	0.903
CNTN5	MDGA1	0.903
PPP2R2A	RPLP2	0.903
PLCB4	NTSR1	0.903
CHRM5	GHSR	0.903
LIN7A	VAMP2	0.903
AAK1	SLC18A3	0.903
KPNA1	YWHAH	0.903
ARF1	PICALM	0.903
SEC22B	KIF1A	0.902
PLCB3	CCK	0.902
ACTB	COPS4	0.902
SPARCL1	WFS1	0.902
GPER1	SRC	0.902
BZRAP1	SLC18A2	0.902
ANXA1	NTS	0.902
ZNRF2	FBXL20	0.902
SH3GL2	SLC2A8	0.902
F2R	NMU	0.902
ARRB1	HIP1	0.902
CHRNB4	SNAP25	0.902
SLC18A3	PACSIN2	0.902
CAMK2B	MDM2	0.902
ARRB2	GAK	0.902
CCK	PLCB4	0.902
KCNC2	PRKACA	0.902
PICALM	BLOC1S6	0.902
SYT2	GAK	0.902
SH3GL3	CLTA	0.902
SH3GL2	AP1S1	0.902
ITSN1	SLC18A3	0.902
CNKSR2	AP3B1	0.902
SYT2	WNT5A	0.902
PACSIN1	SYNJ2	0.902
PRKACA	ABCC8	0.902
PACSIN1	ARRB1	0.902
RAB4A	CRKL	0.902
ARRB1	FGA	0.902
RPL6	PPP2R2A	0.902
WNT5A	VAMP7	0.902
NPHP4	TUBA1A	0.902
CHRM2	CTTN	0.902
ANK3	NAPA	0.902
RPS21	PPP2R2A	0.902
TMED9	NAPA	0.902
PTPRA	SPTBN1	0.902
RPS27	PSMC4	0.902
SYN2	LIN7C	0.902
GHRH	ADCY8	0.902
NEDD4	ZNRF2	0.902
DVL1	PSMC5	0.902
ITGB1	PRKACA	0.902
DNM2	SLC18A3	0.902
DNAJC5	P2RX1	0.902
CHRM2	ITSN1	0.902
SH3KBP1	SLC18A3	0.902
SH3KBP1	VAMP2	0.902
KCNB1	PRKACA	0.902
ITGB3	CNKSR2	0.902
PENK	FGA	0.902
DRD3	P2RY4	0.902
RPL14	PPP2R2A	0.902
DNM2	SYT9	0.902
SH3KBP1	VAMP4	0.902
PACSIN1	SLC18A3	0.902
SLC18A3	DNM3	0.902
SH3GL2	VAMP7	0.902
PLCB3	NTSR1	0.902
SH3KBP1	SYT9	0.902
PLCB3	PLCB1	0.902
CHRM2	SYT8	0.902
PLCB4	GNG3	0.902
DYNLL2	ARFGAP1	0.902
ARRB2	PACSIN2	0.902
DYNLL2	ANK1	0.902
CHRM2	DNM3	0.902
RAB5C	CTTN	0.902
YWHAQ	KPNA1	0.902
CHRM2	RAB5A	0.902
NPHP4	YWHAG	0.902
ARRB2	HIP1	0.902
CHRM5	GNG3	0.902
ANXA1	ADCY8	0.902
YES1	GPC1	0.902
SH3KBP1	ITPR1	0.902
ARRB1	SH3GL2	0.902
PLCB4	GHSR	0.902
SPARCL1	FGA	0.902
ARRB2	SH3KBP1	0.902
SCN10A	SPTBN1	0.902
PICALM	AP1S1	0.902
AGRN	CHRM1	0.902
CHRM2	VAMP4	0.902
ZNRF1	TRIM9	0.902
ARRB2	ACTR2	0.902
CHRM5	F2R	0.902
CAMK2B	RAC1	0.902
PACSIN2	CLTA	0.902
SYNJ1	SLC2A8	0.902
DMD	CHRM1	0.902
PLD1	PGRMC1	0.902
CTTN	SYT1	0.902
ZNRF1	FBXL20	0.902
SYN1	LIN7C	0.902
TRIM9	FBXL20	0.902
P2RY1	GHSR	0.902
PLCB1	GHSR	0.902
DYNLL2	ANK3	0.902
WNT5A	SYT1	0.902
ANXA1	CNR1	0.902
PAK3	EFNB1	0.902
DNM3	AP1S1	0.902
ARRB1	DNM3	0.902
CHRM2	DNAJC6	0.902
CHRM2	GNG3	0.902
CNTN2	USH1C	0.902
GNG3	MAPK14	0.902
TMED9	NAPG	0.902
SYT8	SH3GL2	0.902
SLC18A3	PPFIA4	0.902
ARRB2	HIP1R	0.902
PAK7	DMD	0.902
GAK	VAMP4	0.902
CACNG8	ADAM23	0.902
SLC18A3	SYNJ2	0.902
CTNND1	GRIA2	0.902
ANK2	NAPA	0.902
RPL5	PSMC4	0.902
SNAP47	CPLX1	0.902
ADRA1A	F2R	0.902
CACNG8	ADAM22	0.902
ANXA1	P2RY1	0.902
CALCA	GNG3	0.902
RPS19	PSMC4	0.902
ARF1	RAB11B	0.902
SLC18A3	WNT5A	0.902
ITGB1	CHRM1	0.902
PACSIN1	HIP1	0.902
CLTB	EFNB1	0.902
PLCB4	HTR2B	0.902
RAC1	CDK5R1	0.902
ANK2	NAPG	0.902
CTTN	SLC2A8	0.902
GABRG3	NPTN	0.902
AP1S1	NAPA	0.902
PAK2	EFNB1	0.902
SLC2A8	SH3GL3	0.902
SLC2A8	SYNJ2	0.902
DNAJC6	DTNBP1	0.902
P2RY1	GNRH1	0.902
PLCB3	GHSR	0.902
ITGB3	AP3B1	0.902
SLC18A3	PPFIA3	0.902
DYNLL2	ANK2	0.902
KCNC2	AKAP5	0.902
SH3KBP1	DNAJC6	0.902
ARRB2	DRD2	0.901
SNAP23	PGRMC1	0.901
ARRB2	CLTA	0.901
RNF19A	ZNRF2	0.901
SEC22B	KIF5A	0.901
DNAJC5	PLD1	0.901
C4A	WFS1	0.901
PPP2R2A	RPS9	0.901
CASK	SLC18A2	0.901
COPS5	FBXL20	0.901
SYT9	GAK	0.901
ACTR2	SYT9	0.901
CTNNB1	STX4	0.901
ARRB1	CNKSR2	0.901
AAK1	VAMP7	0.901
SPARCL1	ADAM10	0.901
RAB5C	SYNGR1	0.901
PACSIN1	ARRB2	0.901
HIP1	SYT9	0.901
RAB5C	WNT5A	0.901
P2RY4	ADCY8	0.901
GPER1	NMU	0.901
PTK2B	CHRNB1	0.901
EGLN1	PSMC4	0.901
AAK1	CTTN	0.901
AAK1	SYT8	0.901
SYT8	GAK	0.901
SNAPIN	GAK	0.901
AKT1	HRAS	0.901
RPS3A	PPP2R2A	0.901
SYNJ1	CHRM2	0.901
WNT5A	PACSIN2	0.901
CLTB	PACSIN2	0.901
PPP2R2A	PABPC1	0.901
ITSN1	WNT5A	0.901
ARRB1	CLTA	0.901
PLCB3	GNRH1	0.901
PSMC2	DVL1	0.901
NAPG	ANK3	0.901
CHRM2	PACSIN2	0.901
F2R	CHRM1	0.901
SYT9	PACSIN2	0.901
RPS19	PPP2R2A	0.901
SYT8	ACTR2	0.901
ACTN1	SRGN	0.901
ANXA1	HRH3	0.901
SYT9	WNT5A	0.901
ARRB2	ITSN1	0.901
SYT8	HIP1	0.901
PICALM	PACSIN2	0.901
CDH1	CDH9	0.901
FCHO2	SYT2	0.901
AAK1	SYT9	0.901
AAK1	VAMP4	0.901
SOS1	FGA	0.901
HIP1R	BLOC1S6	0.901
PACSIN1	PICALM	0.901
RPL5	PPP2R2A	0.901
KIF1A	TMED9	0.901
ITGB1	RAP1A	0.901
GNG3	GNRH1	0.901
ARF6	ITGA2	0.901
HTT	HAP1	0.901
CHRM2	PICALM	0.901
CHRM2	SH3GL3	0.901
PACSIN1	WNT5A	0.901
PPP2R2A	RPL8	0.901
HIP1	WNT5A	0.901
ARRB1	DTNBP1	0.901
GNG3	KCNJ2	0.900
ACTN2	CRKL	0.900
AKAP5	MDM2	0.900
F2R	GNG3	0.900
ARRB1	SYT8	0.900
HTR1B	NMU	0.900
P2RX1	PGRMC1	0.900
PACSIN2	VAMP4	0.900
ARRB2	RAB5B	0.900
SYT8	EGFR	0.900
FCHO2	SYT8	0.900
PLCB3	NPFF	0.900
CHRNB4	P2RX1	0.900
ANXA1	HTR1B	0.900
DNAJC5	CHRNB4	0.900
DNAJC6	BLOC1S6	0.900
RPL23	PPP2R2A	0.900
PPP2R2A	RPL38	0.900
SH3GL2	EFNB2	0.900
ADRA2C	ANXA1	0.900
F2R	NPFF	0.900
GDI2	DENND1A	0.900
PAK7	CHRNA1	0.900
ACTN2	FGA	0.900
ANXA1	OPRK1	0.900
SNAP25	PGRMC1	0.900
SYT9	CLTA	0.900
F2R	GHSR	0.900
ARRB2	FGA	0.900
AP1S1	BLOC1S6	0.900
CHRM2	VAMP7	0.900
NTF4	SOS1	0.900
GDI2	FABP5	0.900
RNF19A	FBXL20	0.900
ERC1	PRKCZ	0.900
PRNP	LAMA5	0.900
SLC2A8	SYT1	0.900
PAK3	CHRNA1	0.900
PENK	ADAM10	0.900
SLC18A3	CLTA	0.900
ACTN2	SRGN	0.900
RAB5C	CHRM2	0.900
PAK2	LAMA5	0.900
SLC18A3	CLTB	0.900
P2RY1	NMU	0.900
NAPG	ANK1	0.900
SYT9	CLTB	0.900
CHRM1	LAMA5	0.900
GPER1	HTR1B	0.900
SH3GL2	SNAPIN	0.900
ARRB2	VAMP7	0.900
CHRM2	ACTR2	0.900
GPER1	P2RY4	0.900
SYT8	CLTB	0.900
PACSIN1	SYT8	0.900
OPRM1	ANXA1	0.900
SH3KBP1	RAB5B	0.900
TMED9	ANK3	0.900
ANXA1	P2RY4	0.900
CLTB	EFNB3	0.900
PLCB4	NTS	0.900
GRM8	NMU	0.900
RAB5C	SLC18A3	0.900
DTNBP1	HIP1R	0.900
CHRNB4	SNAP23	0.900
SH3KBP1	SLC2A8	0.900
EGFR	VAMP4	0.900
FBXO2	ZNRF2	0.900
SYT2	PACSIN2	0.900
NTF3	CRKL	0.900
EFNB2	CLTA	0.900
P2RY4	GNG3	0.900
ITGB3	ARRB2	0.900
ACTR2	WNT5A	0.900
ARRB2	SH3GL2	0.900
ARRB1	SLC2A8	0.900
RAB5C	SNAPIN	0.900
DYNLL2	RAB3GAP1	0.900
SH3GL2	EFNB1	0.900
FZD5	GNG3	0.900
RAB5C	SH3KBP1	0.900
SH3KBP1	WNT5A	0.900
FBXO2	COPS4	0.900
ARRB1	SH3GL3	0.900
ANXA1	GRM8	0.900
GNG3	NPFF	0.900
SLC2A8	HIP1	0.900
NUMB	PSMC2	0.900
SLC18A2	LIN7B	0.900
USP8	WNT3A	0.900
ARRB1	RAB5B	0.900
RPS27	PPP2R2A	0.900
PSMC2	EGLN1	0.900
FGA	ADAM10	0.900
SNAPIN	HIP1R	0.900
EPHB1	APH1A	0.900
WNT5A	CLTA	0.900
SH3GL2	WNT5A	0.900
EGLN1	PSMA3	0.900
ARRB1	BLOC1S6	0.900
RAB5C	DTNBP1	0.900
GPER1	ANXA1	0.900
ANXA1	NMU	0.900
SYNJ1	EFNB3	0.900
GRM1	NMU	0.900
RPL10A	PPP2R2A	0.900
EGLN1	PSMC5	0.900
FCHO2	SYT9	0.900
SNAP23	P2RX1	0.900
DTNBP1	GAK	0.900
PAK7	RAPSN	0.900
RAB5C	AP3B1	0.900
PLCB4	NMU	0.900
CACNG8	MDM2	0.900
SLC18A3	HIP1	0.900
CTTN	RAB5B	0.900
CHRM2	SYNJ2	0.900
COPS4	PLCG1	0.900
RAP1A	PGRMC1	0.900
KIF5A	TMED9	0.900
SLC2A8	WNT5A	0.900
NPFF	GHSR	0.900
PAK7	LAMA5	0.900
RAB5C	SYT9	0.900
P2RY4	PENK	0.900
CTTN	SLC18A3	0.900
SNAPIN	NAPA	0.900
FCHO2	HIP1	0.900
PLCB3	NTS	0.900
ITGB1	RAPSN	0.900
CHRM2	FCHO2	0.900
ANK2	TMED9	0.900
DYNLL2	RPS27	0.900
RPS14	PPP2R2A	0.900
CHRM2	WNT5A	0.900
CHRM2	CLTB	0.900
GPER1	HRH3	0.900
ADRA1A	NPFF	0.900
SLC2A8	SYT2	0.900
NTF4	CRKL	0.900
ANXA1	NTSR1	0.900
SYT8	SLC2A8	0.900
TMED9	ANK1	0.900
SLC18A3	RAB5B	0.900
ANXA1	DRD2	0.900
SYT8	PACSIN2	0.900
SH3KBP1	VAMP7	0.900
SYNJ2	WNT5A	0.900
VAMP2	WNT5A	0.900
CHRM2	SLC2A8	0.900
ANXA1	CHRM1	0.900
ANXA1	GNG3	0.900
FGA	SRGN	0.900
CHRM4	ANXA1	0.900
GPER1	ADCY8	0.900
ARRB1	NAPA	0.900
FBXL20	COPS4	0.900
CHRM5	ANXA1	0.900
SYNJ1	WNT5A	0.900
CHRM2	GAK	0.900
PACSIN2	SYT1	0.900
SLC2A8	HIP1R	0.900
CLTB	EFNB2	0.900
FCHO2	WNT5A	0.900
FGA	AP3B1	0.900
SPTBN1	NAPG	0.900
PAK3	NRP1	0.900
CHRNB4	ADAM10	0.900
PLCB3	NMU	0.900
RAB5C	SYT8	0.900
PACSIN2	VAMP7	0.900
WNT5A	HIP1R	0.900
YES1	NRG3	0.900
NAPA	HIP1R	0.900
SH3KBP1	SYT8	0.900
DNAJC5	ADAM10	0.900
CYFIP1	RAB27A	0.900
GAD1	PLCG1	0.900
ARF6	ITGA3	0.900
CLTA	EFNB3	0.900
PAK3	RAPSN	0.900
PDPK1	GNG3	0.900
WNT5A	VAMP4	0.900
GRIA4	MDM2	0.900
GNG3	WNT5A	0.900
PDLIM5	GRIN1	0.900
NUMB	PSMC4	0.900
ARRB1	SNAPIN	0.900
SYT8	SH3GL3	0.900
SYT8	WNT5A	0.900
ARRB2	SYT8	0.900
PICALM	SNAPIN	0.900
RAP1A	P2RX1	0.900
FGA	WFS1	0.900
FZD5	CLTA	0.900
DRD3	ANXA1	0.900
NF1	PSMA3	0.900
CHRM2	HIP1R	0.900
SYT8	CLTA	0.900
CHRM5	NPFF	0.900
CDC42	RPS27	0.900
ITGA8	ARF6	0.900
DTNBP1	NAPA	0.900
ACTR2	FABP5	0.900
CACNG4	MDM2	0.900
